CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_CRYPTO_SHA512,COMMON,Calvin.Liao,for dm-verity,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_TWOFISH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_XCBC,PROJECT,linger.lee,ubifs,O,y,y,y,,y,y,y,y,y,
CONFIG_CT6M_SUPPORT,PROJECT,Yanbin.Ren,new config ed4d60d7f1f8eb2fd663c6aceb92cd33d455de06,X,X,X,X,,O,X,O,X,X,
CONFIG_CUSTOM_KERNEL_ACCELEROMETER,PROJECT,Lomen.Wu,,y,y,y,y,,y,y,y,O,y,
CONFIG_CUSTOM_KERNEL_ACCELEROMETER_MODULE,PROJECT,Yue Wu,"new config in this commit I7597083eee235dfc7189c82e62d210be5534b595
",X,X,X,X,X,X,X,X,X,X,X
CONFIG_CUSTOM_KERNEL_ACTIVITY_SENSOR,PROJECT,yucong.xiong,new config in this commit a1a78f1763fbee529159f277816c062515ac238e,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_ALSPS,PROJECT,qiangming.xia,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CUSTOM_KERNEL_ALSPS_MODULE,PROJECT,Yue Wu,"new config in this commit I7597083eee235dfc7189c82e62d210be5534b595
",X,X,X,X,X,X,X,X,X,X,X
CONFIG_CUSTOM_KERNEL_ANSWER_CALL_SENSOR,PROJECT,qiangming.xia,new config in this commit 187fb88cfe9b07a6e086117d157e5a75b76f244f,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_BAROMETER,PROJECT,yucong.xiong,Project config,X,X,X,X,,X,X,X,O,y,
CONFIG_CUSTOM_KERNEL_CAM_CAL_DRV,PROJECT,luke.hu,Project config,X,X,X,X,,X,X,X,O,O,
CONFIG_CUSTOM_KERNEL_FLASHLIGHT,PROJECT,wilson.fan,,constant_flashlight,constant_flashlight,constant_flashlight,constant_flashlight,,constant_flashlight,constant_flashlight,constant_flashlight,constant_flashlight,constant_flashlight,
CONFIG_CUSTOM_KERNEL_GESTURE_SENSOR,PROJECT,qiangming.xia,new config in this commit e5afb39d5bc749c04142bb69e4f89131015320a6,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_GLANCE_GESTURE_SENSOR,PROJECT,qiangming.xia,,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_GMRV_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_GRAVITY_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_GRV_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_GYROSCOPE,PROJECT,Lomen.Wu,,y,y,y,y,,y,y,y,O,y,
CONFIG_CUSTOM_KERNEL_GYROSCOPE_MODULE,PROJECT,Yue Wu,"new config in this commit I7597083eee235dfc7189c82e62d210be5534b595
",X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_AB_OTA_UPDATER,PROJECT,haohsiang.hsu,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_DEVICE_ORIENTATION_HUB,PROJECT,hongxu.zhao,,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_SITUATION,PROJECT,hongxu.zhao,,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_MOTION_DETECT_HUB,PROJECT,hongxu.zhao,,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_HDMI,PLATFORM,we.li,new config in this commit b6da34f942623cbaac8ae70f4b2405d4a81961f8,X,X,X,X,Sii8348,X,X,X,X,Sii8348,Sii8348
CONFIG_CUSTOM_KERNEL_HUMIDITY,PROJECT,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,X,X,X,X,X,X,X,X,X,O,X
CONFIG_CUSTOM_KERNEL_IMGSENSOR,PROJECT,jenlung.tsai,,gc0310_yuvimx179_mipi_rawov5670_mipi_raw,O,imx219_mipi_rawgc2355_mipi_raw,imx135_mipi_rawgc2355_mipi_raws5k2p8_mipi_raw,,imx135_mipi_rawgc2355_mipi_raw,imx219_mipi_rawgc2355_mipi_raw,imx135_mipi_rawgc2355_mipi_raws5k2p8_mipi_raw,O,O,
CONFIG_CUSTOM_KERNEL_IN_POCKET_SENSOR,PROJECT,yucong.xiong,new config in this commit a1a78f1763fbee529159f277816c062515ac238e,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_LCM,PROJECT,chih-chieh.yeh,,O,O,O,r63417_fhd_dsi_cmd_truly_nt50358,,O,otm9608_qhd_dsi_cmd,r63417_fhd_dsi_cmd_truly_nt50358,O,O,
CONFIG_CUSTOM_KERNEL_LINEARACCEL_SENSOR,PROJECT,hongxu.zhao,new config in this commit efa7fd3bb4ce6ae352425c40321c8d5c7c1c6c14,X,X,X,X,,X,X,X,X,O,
CONFIG_CUSTOM_KERNEL_MAGNETOMETER,PROJECT,Lomen.Wu,,y,y,y,y,,y,y,y,O,y,
