CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_MTK_GPS_EMI,PROJECT,Heiping.Lei,new config in this commit 89e353c38891333cad5c752eedcd129440a5664b,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_GPS_REGISTER_SETTING,PROJECT,Heiping.Lei,new config in this commit bfc2f2ac84b4e959639353664279a181d4b095d8,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_GPS_SUPPORT,PROJECT,Heiping.Lei,,y,y,y,y,,y,y,y,y,y,
CONFIG_MTK_GPT_SCHEME_SUPPORT,PROJECT,jimin.wang,,O,y,y,y,,y,y,y,y,y,
CONFIG_MTK_GPU_COMMON_DVFS_SUPPORT,PLATFORM,Yu-fu.Kao,,X,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_GPU_SPM_DVFS_SUPPORT,COMMON,yu-fu.kao,new config in this commit 25c58375709ade9927b8c1efdd93b182c51a2d88,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_GPU_SUPPORT,PROJECT,victor.hsu,,y,y,y,y,,y,y,y,y,y,
CONFIG_MTK_GPU_VERSION,PROJECT,Yu-fu.Kao,type PROJECT should be PLATFORM,mali utgard,O,O,mali midgard r7p0_v2,,mali midgard r7p0_v2,mali midgard r7p0_v2,mali midgard r7p0_v2,mali midgard r7p0,,
CONFIG_MTK_GRAVITYHUB,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_GYROHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_HAFG_20,PROJECT,WeiChing.Lin,,X,X,O,X,,X,X,X,O,O,
CONFIG_MTK_HDMI_SUPPORT,PROJECT,junzhi.zhao,new config in this commit 8981f73cf7bc71472ded61c12aa2a21239e1f68b,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_HMDYHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_HP_ANASWITCH,PROJECT,georgecy.lin,new config in this commit 378eb5b131260db917d022555fa920fa118ab3a1,X,X,X,X,X,X,X,X,y,X,X
CONFIG_MTK_HTS221,PROJECT,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_HWMON,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_HYBRID_CPU_DVFS,PROJECT,terry.chang,new config in this commit 62467ca4b7cfc47139e8ea15d5904c570f966fe8,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_ICM20645G,PROJECT,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_ICM20645GY,PROJECT,hongxu.zhao,new config in this commit 063ebd2dfda85d1c6ea1c0120c87fa93fc2570e8,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_IMGSENSOR,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_INPKHUB,PROJECT,qiangming.xia,new config in this commit e5afb39d5bc749c04142bb69e4f89131015320a6,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_ION,COMMON,youhua.li,new config in this commit 30f50f4e2f5b4c1996816cc4997e5c6b86d28386,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_IRAT_SUPPORT,PROJECT,anny.hu,,X,O,X,X,,O,X,X,O,O,
CONFIG_MTK_IRQ,PLATFORM,,,y,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_IRTX_SUPPORT,PROJECT,xiao.wang,,X,O,X,X,X,O,X,X,O,y,X
CONFIG_MTK_IRTX_PWM_SUPPORT,PROJECT,cheng-h.chen,,X,X,X,X,y,X,X,X,X,X,O
CONFIG_MTK_ITG1010_NEW,PLATFORM,Qiangming.Xia,,y,y,y,y,,y,y,y,X,X,
CONFIG_MTK_JEITA_STANDARD_SUPPORT,PROJECT,wy.chuang,,O,O,X,O,,X,O,X,O,O,
CONFIG_MTK_JPEG,PLATFORM,chrono.wu,,X,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_KERNEL_POWER_OFF_CHARGING,PROJECT,wy.chuang,,y,y,y,y,,y,y,y,y,y,
CONFIG_MTK_LASTBUS,PLATFORM,shun-chih.yu,(<NEW>new config in this commit 400891f7cb420e31bddedb7838201806da6fca25),X,X,X,X,X,X,X,X,y,y,X
CONFIG_MTK_LASTBUS_V2,PLATFORM,shun-chih.yu,new config in this commit 70642ef846065ab362d64bef9dd583400c95574c,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_LASTPC,PLATFORM,shun-chih.yu,,X,y,y,y,X,y,y,y,y,y,X
CONFIG_MTK_L2C_PARITY_CHECK,PLATFORM,shun-chih.yu,new config in this commit e6dca10296c4ff142f048f3acfd6860000863b9d,X,X,X,X,y,X,X,X,X,X,y
CONFIG_MTK_LASTPC_V2,PLATFORM,shun-chih.yu,new config in this commit c10f203ca842501de3b383fa96aff89de5d325ca,X,X,X,X,y,X,X,X,X,X,y
CONFIG_MTK_LCM,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_LCM_DEVICE_TREE_SUPPORT,PROJECT,joey.pan,,X,X,X,X,,O,X,X,X,X,
CONFIG_MTK_LCM_PHYSICAL_ROTATION,PROJECT,k.zhang,,0,0,0,0,,0,0,0,0,0,
CONFIG_MTK_LCM_PHYSICAL_ROTATION_HW,PROJECT,k.zhang,new config in this commit bc9d4699ce3f9e687fbd71247a9c3ed3e7c6b5d5,X,X,X,X,,X,X,X,O,O,
CONFIG_MTK_LEDS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_LENS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_LENS_AD5820AF_SUPPORT,PROJECT,sam.hung,,y,y,y,y,O,O,y,y,y,y,O
CONFIG_MTK_LENS_AK7371AF_SUPPORT,PROJECT,sam.hung,,X,X,X,X,O,X,X,X,X,O,O
CONFIG_MTK_LENS_BU63165AF_SUPPORT,PROJECT,sam.hung,new config in this commit e9cf791d08830ec15ffd23d33d2b3757d40fe777,X,X,X,X,O,X,X,X,X,O,O
CONFIG_MTK_LENS_BU6424AF_SUPPORT,PROJECT,sam.hung,new config in this commit 4ba429dbf0ed272ef89e8754b562c2413c220c8a,X,X,X,X,O,X,X,X,y,O,O
CONFIG_MTK_LENS_BU6429AF_SUPPORT,PROJECT,sam.hung,new config in this commit 4ba429dbf0ed272ef89e8754b562c2413c220c8a,X,X,X,X,O,X,X,X,y,O,O
CONFIG_MTK_LENS_BU64745GWZAF_SUPPORT,PROJECT,sam.hung,,X,X,X,y,O,X,X,X,O,O,O
CONFIG_MTK_LENS_DUMMYLENS_SUPPORT,PROJECT,sam.hung,,y,y,y,y,O,O,y,y,y,y,O
CONFIG_MTK_LENS_DW9714AF_SUPPORT,PROJECT,sam.hung,,y,y,y,y,X,y,y,y,y,y,X
CONFIG_MTK_LENS_LC898122AF_SUPPORT,PROJECT,sam.hung,new config in this commit 4ba429dbf0ed272ef89e8754b562c2413c220c8a,X,X,X,X,O,X,X,X,O,X,O
CONFIG_MTK_LENS_LC898212AF_SUPPORT,PROJECT,sam.hung,,y,O,y,y,O,y,y,y,O,X,O
CONFIG_MTK_LENS_LC898212XDAF_SUPPORT,PROJECT,sam.hung,new config in this commit e9cf791d08830ec15ffd23d33d2b3757d40fe777,X,X,X,X,O,X,X,X,O,y,O
CONFIG_MTK_LENS_LC898214AF_SUPPORT,PROJECT,sam.hung,new config in this commit 9fa604a77fd23298843fa20e56bb898c7d36619b,X,X,X,X,O,X,X,X,O,X,O
CONFIG_MTK_LENS_USE_MODULE,PROJECT,sam.hung,,X,X,O,X,X,X,X,X,X,X,X
CONFIG_MTK_LINEARACCHUB,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_LM_MODE,PROJECT,shun-chih.yu,new config in this commit eaa12506bc17f07afe7eee502e923741fdbcc7ff,X,X,X,X,,X,X,X,O,O,
CONFIG_MTK_LSM6DS3HG,PLATFORM,jy.lan,,X,X,X,X,y,X,X,X,X,X,y
CONFIG_MTK_LSM6DS3HGY,PLATFORM,jy.lan,,X,X,X,X,y,X,X,X,X,X,y
CONFIG_MTK_MAGHUB,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_MC3410_NEW,PLATFORM,Qiangming.Xia,,y,y,y,y,X,y,y,y,X,X,X
CONFIG_MTK_MD_SBP_CUSTOM_VALUE,PROJECT,yanbin.ren,,O,O,O,X,,O,O,X,O,O,
CONFIG_MTK_MD1_SUPPORT,PROJECT,yanbin.ren,,X,O,O,O,,O,O,5,O,O,
CONFIG_MTK_MD2_SBP_CUSTOM_VALUE,PLATFORM,yanbin.ren,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_MD3_SUPPORT,PROJECT,yanbin.ren,,X,O,O,O,,O,O,2,O,O,
CONFIG_MTK_MEMCFG,USER,chinwen.chang,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_MEMORY_LOWPOWER,PROJECT,Miles.Chen,Specific hardware,X,X,X,X,,O,X,X,X,X,
CONFIG_MTK_MET,COMMON,chengchang.wu,6755 32 bits not ready,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_MET_PLF,COMMON,chengchang.wu,6755 32 bits not ready,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_MJC_DRIVER,PLATFORM,easer.su,new config in this commit 669b19c5c1c997fe0e430fa5e7de77c0406acf41,X,X,X,X,X,X,X,X,X,y,X
CONFIG_MTK_MLC_NAND_SUPPORT,PROJECT,chienwei.chang,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTK_MLOG,COMMON,Tehsin.Lin,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_MMPROFILE_SUPPORT,COMMON,,project config should be common,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_MPU6515A,PLATFORM,lomen.wu,new config in this commit 4486d5ee565d38da91ef65fd3918a57aaa5263f2,X,X,X,X,,X,X,X,y,X,
CONFIG_MTK_MPU6515G,PLATFORM,lomen.wu,new config in this commit 4486d5ee565d38da91ef65fd3918a57aaa5263f2,X,X,X,X,,X,X,X,y,X,
CONFIG_MTK_MRDUMP_KEY,PROJECT,zh.chen,new config in this commit 64f3538db65d13898589d3462f61289152852490,X,X,X,X,y,X,X,X,O,y,y
CONFIG_MTK_MT6750TT,PROJECT,ichang.kuo,new config,X,X,X,X,X,X,X,X,O,X,X
CONFIG_MTK_MTD_NAND,PROJECT,chienwei.chang,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTK_MUSB_QMU_SUPPORT,PLATFORM,,,X,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_NAND_BITFLIP,PROJECT,chienwei.chang,,O,X,X,X,,X,X,X,X,X,
CONFIG_MTK_NET_CCMNI,COMMON,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_NET_LOGGING,USER,changqing.sun,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_NFC,PROJECT,Thomas-CH.Chen,gmo disable in 6b0092485617fb3b0aa804c45c6ffc86fb6c405c,X,y,O,y,,y,y,y,y,O,
CONFIG_MTK_OD_SUPPORT,PROJECT,yiruei.wu,120hz project only,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_AUDIO_TUNNELING_SUPPORT,PROJECT,Hsin-Yi.Chang,new config in this commit f23b551da1530a08af42299c2c9f900d1127b72c,X,X,X,X,X,X,X,X,X,O,X
CONFIG_MTK_AURISYS_PHONE_CALL_SUPPORT,PROJECT,harvey.huang,new config in this commit 84b8edd0a561f4c498e46acb2a702dd9fabf7447,X,X,X,X,X,X,X,X,X,O,X
CONFIG_MTK_PASR,PROJECT,chinwen.chang,new config in this commit 43265af4ab8d1e6dcfd3ca54cec75fa33a9fb564,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_PASSPOINT_R1_SUPPORT,PROJECT,zhiguo.niu,,X,X,X,X,,O,X,X,O,X,
CONFIG_MTK_PDRHUB,PROJECT,xuexi.bai,new config in this commit 3a2f062b1bd2f8919be2670ccbc84133a0af0bfd,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_PEDOHUB,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_PERFMGR_TOUCH_BOOST,PROJECT,Ian-y.Chen,new config 43786717db098bca3f4db77be0893b4feeba8cc8,X,X,O,X,,X,X,X,X,X,
CONFIG_MTK_PICKUPHUB,PROJECT,weiqi.fu,,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_PLATFORM,PLATFORM,,project config should be platform,mt6580,mt6735,mt6735,mt6735,mt6757,mt6735,mt6735,mt6735,mt6755,mt6797,mt6757
CONFIG_MTK_PMIC_CHIP_MT6353,PROJECT,jimmy-yj.huang,,X,X,X,X,X,X,X,X,O,X,X
CONFIG_MTK_PMIC_NEW_ARCH,PROJECT,jimmy-yj.huang,,X,X,X,X,X,X,X,X,O,X,X
CONFIG_MTK_PSCI,PLATFORM,scott.shu,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_MTK_PUMP_EXPRESS_PLUS_SUPPORT,PROJECT,wy.chuang,(<NEW>new config in this commit 0a8d9b64437012ca7ccadfe1338fa26d74f49b16),X,X,X,X,,X,X,X,O,y,
CONFIG_MTK_PUMP_EXPRESS_PLUS_20_SUPPORT,PROJECT,elvin.lin,,X,X,X,X,,X,X,X,X,X,
CONFIG_MTK_PUMP_EXPRESS_SUPPORT,PROJECT,elvin.lin,,O,O,O,O,,X,O,X,X,X,
CONFIG_MTK_PWM,PROJECT,qiangming.xia,not required if not used,y,y,y,y,,y,y,y,y,y,
CONFIG_MTK_RAM_CONSOLE,COMMON,Ji.Zhang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_RAM_CONSOLE_ADDR,PLATFORM,Ji.Zhang,,0xF912D000,0xF912D000,0xF912D000,0xF912D000,0x0011D000,0xF912D000,0xF912D000,0xF912D000,0x0011D000,0x0012D000,0x0011D000
CONFIG_MTK_RAM_CONSOLE_DRAM_ADDR,PLATFORM,Ji.Zhang,,0x83F00000,0x43F00000,0x43F00000,0x43F00000,0x44400000,0x43F00000,0x43F00000,0x43F00000,0x44400000,0x44400000,0x44400000
CONFIG_MTK_RAM_CONSOLE_DRAM_SIZE,COMMON,Ji.Zhang,,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000,0x10000
CONFIG_MTK_RAM_CONSOLE_SIZE,PLATFORM,Ji.Zhang,,0x3000,0x3000,0x3000,0x3000,0x800,0x3000,0x3000,0x3000,0xc00,0xc00,0x800
CONFIG_MTK_RAM_CONSOLE_USING_DRAM,PLATFORM,Ji.Zhang,,y,y,y,y,X,y,y,y,X,X,X
CONFIG_MTK_RAM_CONSOLE_USING_SRAM,PLATFORM,ji.zhang,new config in this commit 5ea1bbd49287ac7cd3a31ab1632c4835ac6a71ad,X,X,X,X,y,X,X,X,y,y,y
CONFIG_MTK_ROOT_TRACE,USER;PROJECT,colin.lee,customer may set this in user load; a white list must be set before,X,X,X,X,,X,X,X,X,X,
CONFIG_MTK_ROTATVECHUB,PROJECT,hongxu.zhao,new config in this commit bd8b67170550fbf1f721310116ae26ced96105a6,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_RRC_SUPPORT,PROJECT,otis.huang,new config in this commit a9f470e71a32907be7675e8887db0add7a2a5e81,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_RT9468_SUPPORT,PROJECT,vend_shufan_lee001,new config in this commit abba073794b7f1cf5e6b279c9126658285ce392f,X,X,X,X,O,X,X,X,X,X,O
CONFIG_MTK_RTC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SCHED_CMP,PLATFORM,yt.chang,,X,X,X,y,y,X,X,y,y,y,y
CONFIG_MTK_SCHED_CMP_TGS,PLATFORM,yt.chang,,X,X,X,y,y,X,X,y,y,y,y
CONFIG_MTK_SCHED_CMP_TGS_WAKEUP,PLATFORM,yt.chang,,X,X,X,y,y,X,X,y,y,y,y
CONFIG_MTK_SCHED_RQAVG_KS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SCHED_RQAVG_US,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SCHED_TRACERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SCP_SENSORHUB_V1,PROJECT,weiqi.fu,new config in this commit ddc5d59450d236e7d3732ebd43a19c5056787cc0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_SEC_MODEM_NVRAM_ANTI_CLONE,PLATFORM,pangyen.chen,project config should be platform 6755 modem implement this function,y,y,y,y,X,y,y,y,X,X,X
CONFIG_MTK_SEC_VIDEO_PATH_SUPPORT,PROJECT,fy.yang,,X,X,X,X,,O,X,X,O,O,
CONFIG_MTK_SECURITY_SW_SUPPORT,COMMON,Maoyuan.Weng,default y enable in 1faa87778d595b421ee71871d0edab00154309a3,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_SELINUX_AEE_WARNING,USER;PROJECT,colin.lee,new config in this commit 569e37b259c48a72f358131ea72b69da512ea010,X,X,X,X,,X,X,X,X,X,
CONFIG_MTK_SENSOR_HUB_SUPPORT,PROJECT,yue.wu,,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_SENSOR_SUPPORT,PROJECT,qiangming.xia,,y,y,y,y,,y,y,y,y,y,
CONFIG_MTK_SENSORS_1_0,PROJECT,yue.wu,,y,y,y,y,,y,y,y,y,y,
CONFIG_MTK_SHARED_SDCARD,PROJECT,sophie.wang,,O,O,y,y,,y,y,y,y,O,
CONFIG_MTK_SIB_USB_SWITCH,PLATFORM,vincent.fan,new config in this commit 4e7b3b33656594a05148a103f8e6a83ee5ad25f7,X,X,X,X,y,X,X,X,y,y,y
CONFIG_MTK_SIM_LOCK_POWER_ON_WRITE_PROTECT,PROJECT,yanbin.ren,new config in this commit 6ebd8f9b343a9925e51161cef20c78c0c797d19c,X,X,X,X,,O,X,O,O,X,
CONFIG_MTK_SLC_BUFFER_SUPPORT,PROJECT,isaac.lee,new config in this commit ae5dc71d9ef6ebac8e6d05c6ce48ba26c40e4f7d,O,X,X,X,,X,X,X,X,X,
CONFIG_MTK_SM100,PROJECT,qiyuan.song,new config in this commit 3d29631334b2361b7b4596ebe73e6414b64907dc,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_SMART_BATTERY,COMMON,Henry.Chen,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SMI_EXT,COMMON,kendrick.hsu,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SND_SOC_NEW_ARCH,PLATFORM,Chien-Wei.hsu,new config in this commit Id1263ee35209bb47f72e3e37cc57fa82d52c036f,X,X,X,X,y,X,X,X,X,X,y
CONFIG_MTK_SPEAKER,PROJECT,georgecy.lin,,y,y,y,y,X,y,y,y,X,X,X
CONFIG_MTK_SPI,COMMON,lomen.wu,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SPKGPIO_REWORK,PROJECT,georgecy.lin,new config in this commit 378eb5b131260db917d022555fa920fa118ab3a1,X,X,X,X,X,X,X,X,y,X,X
CONFIG_MTK_STATHUB,PROJECT,qiangming.xia,new config in this commit e5afb39d5bc749c04142bb69e4f89131015320a6,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_STEPSIGNHUB,PROJECT,hongxu.zhao,new config in this commit 5d3fd154d89af1a6fdf1dcf1963d1595834933de,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_SVP,PROJECT,tehsin.lin,new config in this commit 127c1a282ad9be25750ea4a3fb5b64324301b7f3,X,X,X,X,,X,X,X,O,O,
CONFIG_MTK_SVP_RAM_SIZE,PROJECT,tehsin.lin,new config in this commit 127c1a282ad9be25750ea4a3fb5b64324301b7f3,X,X,X,X,,X,X,X,O,O,
CONFIG_MTK_SYNC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_SYSENV,PROJECT,ying.jiang,,O,y,y,y,,y,y,y,y,O,
CONFIG_MTK_TC1_FEATURE,PROJECT,teddy.seo,,X,X,O,X,,X,X,X,X,X,
CONFIG_MTK_THERMAL_PA_VIA_ATCMD,PROJECT,ethan.chang,,y,y,y,y,,y,y,y,y,y,
CONFIG_MTK_TILTDETECTHUB,PROJECT,weiqi.fu,,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_TINYSYS_SCP_SUPPORT,PROJECT,ts.kuo,new config in this commit a093c6e6d759ab57ff80b7553294c2a02c04a522,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_TLC_NAND_SUPPORT,PROJECT,chienwei.chang,TLC nand project only,X,X,X,X,,X,X,X,X,X,
CONFIG_MTK_TUI_RAM_SIZE,PROJECT,tehsin.lin,new config in this commit 127c1a282ad9be25750ea4a3fb5b64324301b7f3,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_UART_USB_SWITCH,PROJECT,yu-chang.wang,,X,X,O,X,,O,X,X,X,X,
CONFIG_MTK_UNCALI_GYROHUB,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_UNCALI_MAGHUB,PROJECT,weiqi.fu,new config in this commit 6cf72299191fe832dffff96cd9233bcf981b52a0,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_USB2JTAG_SUPPORT,PLATFORM,shun-chih.yu,only D1 support,X,y,y,X,X,y,y,X,X,X,X
CONFIG_MTK_VIBRATOR,COMMON,luhua.xu,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_VIDEOCODEC_DRIVER,COMMON,Tofar.Huang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_VIDEOX,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_VOW_SUPPORT,PROJECT,che-jui.chang,new config in this commit a98a2d4db76d5afef19676fe44e8eb2375f44543,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_WAKEHUB,PROJECT,qiangming.xia,,X,X,X,X,,X,X,X,X,O,
CONFIG_MTK_WAPI_SUPPORT,PROJECT,zhiguo.niu,,O,X,O,X,,X,N,X,X,X,
CONFIG_MTK_WATCHPOINT,PLATFORM,,,X,y,y,y,y,y,y,y,y,y,y
CONFIG_MTK_WQ_DEBUG,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MTK_YAS532_NEW,PROJECT,lomen.wu,new config in this commit 4486d5ee565d38da91ef65fd3918a57aaa5263f2,X,X,X,X,,X,X,X,y,X,
CONFIG_MTPROF,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_MTPROF_CPUTIME,COMMON,Neil.Yang,disable legacy config,X,X,X,X,X,X,X,X,X,X,X
CONFIG_MU3_PHY,PLATFORM,vincent.fan,new config in this commit 9c994a5422e4766902530dd5802569f681162b20,X,X,X,X,y,X,X,X,y,y,y
CONFIG_NANOHUB_MTK_IPI,PROJECT,gaia.chang,,X,X,X,X,,X,X,X,X,O,
CONFIG_NANOHUB,PROJECT,gaia.chang,,X,X,X,X,,X,X,X,X,O,
CONFIG_NEON,PLATFORM,,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_NET,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_ACT_IPT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_ACT_MIRRED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_ACT_POLICE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_CLS_ACT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_CLS_FLOW,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_CLS_FW,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_CLS_IND,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_CLS_U32,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_IPIP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_KEY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_SCH_HTB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_SCH_INGRESS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NET_SCHED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETDEVICES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_CONNMARK,COMMON,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_NETFILTER_XT_MATCH_CONNBYTES,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_IPRANGE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_LENGTH,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_LIMIT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_MAC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_MARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_MULTIPORT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_PHYSDEV,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_POLICY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_QTAGUID,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_QUOTA,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_QUOTA2,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_QUOTA2_LOG,COMMON,kang.ouyang,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_REALM,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_RECENT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_SOCKET,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_STATE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_STATISTIC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_STRING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_NETFILTER_XT_MATCH_TCPMSS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
